run_uuid,function_uuid,coeffs,comps,random_seed,min_loss,max_eval_acc,ds_fraction_positive
c3715008-ff55-488b-aac0-b5b1f0e1de61,593b42db-0716-4ee4-8450-624a6cfec13e,"[-0.8604427576065063, 0.8373308181762695, 0.814276933670044, -0.821841835975647]","[[0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0], [1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0], [1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0], [1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0]]",875856,0.008850874289870261,0.9900000095367432,0.382999986410141
be739ccb-6abd-4267-af63-c8c8a9d4d733,593b42db-0716-4ee4-8450-624a6cfec13e,"[-0.8604427576065063, 0.8373308181762695, 0.814276933670044, -0.821841835975647]","[[0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0], [1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0], [1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0], [1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0]]",384789,0.39659702229499816,0.8299999833106995,0.40700000524520874
5435fb10-3abb-4064-b5cd-0107b69c972c,31d3ba89-86b9-4879-b82a-9c45766d237f,"[0.84843909740448, -0.7772574424743652, -0.6466354131698608, 0.3677266836166382]","[[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0], [1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0]]",94196,0.01876861834526062,1.0,0.32199999690055847
c466d103-d021-4082-a87c-814d34643524,31d3ba89-86b9-4879-b82a-9c45766d237f,"[0.84843909740448, -0.7772574424743652, -0.6466354131698608, 0.3677266836166382]","[[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0], [1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0]]",59836,0.3842419900894165,0.8399999737739563,0.3440000116825104
3ae20ab3-edbe-4d40-8f22-abc47feeb75b,3dd13706-af28-4466-bd94-e99a401fa595,"[0.6735572814941406, -0.8662301301956177, -0.15175139904022217, 0.8081932067871094]","[[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0], [1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0], [1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0]]",709179,0.018213777244091033,0.9819999933242798,0.46799999475479126
71ceeae3-9a85-488e-8645-9125f1dcd54d,3dd13706-af28-4466-bd94-e99a401fa595,"[0.6735572814941406, -0.8662301301956177, -0.15175139904022217, 0.8081932067871094]","[[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0], [1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0], [1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0]]",716930,0.01931295432150364,0.9980000257492065,0.4690000116825104
7f9de2fc-9a28-4efe-8ebf-7648fdf67b46,22795629-900a-4384-9fc8-314def4f6744,"[-0.2769322395324707, 0.8396193981170654, -0.31345605850219727, -0.4068828821182251]","[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0]]",32561,0.046255620628595354,0.9900000095367432,0.4569999873638153
7e8dcce6-723d-4f8f-9b55-5a0c4ceb1f53,22795629-900a-4384-9fc8-314def4f6744,"[-0.2769322395324707, 0.8396193981170654, -0.31345605850219727, -0.4068828821182251]","[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0]]",458318,0.019190031737089157,0.9980000257492065,0.4169999957084656
90731516-316f-40ae-8407-89de05378a3d,3982b8c8-6f65-445c-8cc2-f97748d4b8d7,"[0.9893304109573364, -0.5220485925674438, -0.3456987142562866, -0.13968539237976074]","[[1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0], [0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0], [1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]]",888356,0.5343494210243225,0.7039999961853027,0.550000011920929
032b59d9-1349-4bfc-9d93-d86447575879,3982b8c8-6f65-445c-8cc2-f97748d4b8d7,"[0.9893304109573364, -0.5220485925674438, -0.3456987142562866, -0.13968539237976074]","[[1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0], [0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0], [1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]]",406745,0.014485087528824806,0.9959999918937683,0.5609999895095825
